,0,1,2,optics_label,kmeans_label,dbscan_label,hierarchy_label
KMB,12.995002,-6.2259593,-0.16035075,15,6,11,2
KMI,-12.255803,-12.442429,-5.3334513,11,4,9,14
KMX,1.2739125,-1.9367195,3.5684664,-1,11,-1,1
KO,10.838673,-4.958306,-3.8508205,15,6,11,2
KR,9.585813,-2.9823506,4.2105293,21,5,14,0
L,-14.053223,-9.033979,6.9506707,9,7,7,8
LDOS,-5.2940316,-5.696438,9.570694,13,14,17,5
LEN,-3.2268314,5.038381,-11.370572,-1,13,-1,3
LH,12.011414,6.1245303,-1.0565164,-1,1,0,4
LHX,-5.325267,-4.359968,10.367275,13,14,17,5
LIN,-3.5786939,4.736906,-1.6196638,7,3,6,11
LKQ,-3.2503867,-2.419693,2.48743,7,3,6,11
LLY,16.582218,5.0449967,-8.797423,2,1,0,4
LMT,-6.2350774,-3.1831982,10.796644,13,14,17,5
LNT,9.686106,-14.346519,-8.951359,17,10,5,12
LOW,2.5964832,-0.13409995,5.252197,21,5,14,0
LRCX,-5.731749,18.291828,-0.32468063,18,8,4,7
LULU,4.3683186,-3.2223842,1.5131854,12,14,10,5
LUV,-8.932714,-8.540733,1.9184302,6,14,1,1
LVS,-4.7749825,-12.702186,4.541302,6,14,1,1
LYB,-8.510159,1.5824594,-3.5320208,8,3,6,11
LYV,-3.6689615,-8.977976,0.34833696,6,14,1,1
MA,2.265636,7.2985153,-5.5524883,5,13,2,3
MAA,5.275432,-17.515728,0.8282035,16,2,8,6
MAR,-5.5719438,-11.679199,1.451968,6,14,1,1
MAS,-0.10181446,1.6787742,4.653443,-1,3,6,11
MCD,1.8107871,0.3445198,-2.7595475,5,13,2,3
MCHP,-7.299087,16.955494,-0.51048934,18,8,4,7
MCK,13.278644,-0.30048704,-10.315866,15,6,11,2
MCO,5.866388,8.95486,3.160967,3,5,-1,13
MDLZ,11.605227,-4.080248,-2.0972195,15,6,11,2
MDT,8.76709,7.598213,-8.078123,1,1,0,4
MET,-15.374591,-7.1835566,5.5611615,9,7,7,8
META,3.7050843,21.200668,-1.6521727,4,12,2,9
MGM,-4.553129,-10.760227,2.742938,6,14,1,1
MHK,-0.7900525,-1.8093712,4.368368,-1,14,-1,1
MKC,13.2644205,-3.6119335,-1.1107259,15,6,11,2
MKTX,8.77811,8.767214,3.6520257,3,5,-1,13
MLM,-9.767317,6.475037,2.5368857,-1,9,-1,3
MMC,5.477207,6.887323,8.439047,3,5,-1,13
MMM,-3.4613304,0.1917705,7.287982,7,3,6,11
MNST,5.161854,0.6971698,-2.9370606,5,13,-1,3
MO,9.395573,-2.841982,-4.1738515,15,6,11,2
MOH,9.235032,4.699135,-14.101443,15,6,13,2
MOS,-13.472864,1.7884971,-1.7154151,8,3,6,11
MPC,-13.636986,-12.8772335,-1.4552621,11,4,9,14
MPWR,-3.3833423,17.556519,-0.24409181,18,8,4,7
MRK,15.395942,3.8043294,-8.092453,2,1,0,4
MRO,-16.657005,-14.811443,-6.9295874,11,4,9,14
MS,-15.199041,-4.9077415,3.0036273,9,7,7,8
MSCI,6.087002,9.573235,1.5409235,4,12,2,9
MSFT,1.5973881,18.385546,-2.0943415,4,12,2,9
MSI,0.9579595,6.4416165,1.3777765,5,13,2,3
MTB,-19.78672,-4.098626,6.0672426,9,7,7,8
MTCH,5.177314,13.854606,-3.189821,4,12,2,9
MTD,15.318114,10.163921,-1.1855885,0,1,0,4
MU,-5.372649,14.366002,1.7802966,18,8,4,7
NCLH,-7.642381,-8.222188,0.17917652,6,14,1,1
NDAQ,8.153387,6.981782,3.0340447,3,5,-1,13
NDSN,-3.8838851,5.295215,3.9753914,20,9,16,0
NEE,10.031267,-10.133757,-8.595049,17,10,5,12
NEM,3.8638055,-7.0188446,-7.2664123,-1,11,-1,1
NFLX,4.9744854,19.139805,-0.64518154,4,12,2,9
NI,9.063742,-10.8357,-6.354763,17,10,5,12
NKE,3.5354347,-2.274558,0.33241332,12,14,10,5
NOC,-6.3372674,-4.2745566,11.614131,13,14,17,5
NOW,3.4138224,15.78971,0.31231657,4,12,2,9
NRG,1.8729088,-11.130221,-6.5334086,-1,11,-1,1
NSC,-7.123219,5.247827,8.643178,20,9,16,0
NTAP,-3.0386815,12.145573,5.414305,19,9,15,0
NTRS,-17.882425,-4.411413,2.4735305,9,7,7,8
NUE,-10.999678,3.5651913,-1.1874795,8,3,6,11
NVDA,-1.6795125,16.901453,1.0112855,4,12,2,9
NVR,-5.0350895,4.9968886,-11.24461,-1,13,-1,3
NWS,-5.0186753,-4.218775,-5.4233484,22,11,18,0
NWSA,-4.5675383,-3.6835322,-5.6051207,22,11,18,0
NXPI,-7.9296985,15.266957,0.53614604,18,8,4,7
O,3.6903033,-13.781511,-0.43166664,16,2,8,6
ODFL,-6.0248284,5.1130285,12.186296,20,9,16,0
OKE,-12.2132,-14.361993,-5.5759764,11,4,9,14
OMC,-3.7629206,-4.6487966,-2.352904,22,11,18,0
ON,-7.479108,16.575998,1.4987255,18,8,4,7
ORCL,0.3606051,9.807455,6.2562194,-1,9,-1,9
ORLY,3.0174546,-2.8732843,9.012041,21,5,14,0
OXY,-17.026896,-14.82201,-5.081408,11,4,9,14
PANW,3.4919627,15.638337,2.8391585,4,12,2,9
PARA,-2.0672853,-6.8529935,-4.886596,22,11,18,0
PAYC,4.077396,13.1819,-1.3593073,4,12,2,9
PAYX,3.4858613,4.8556757,-0.6600785,5,13,2,3
PCAR,-7.6144295,1.8974692,6.462214,7,3,6,11
PCG,5.7144465,-8.149826,-4.712734,17,10,5,12
PEG,6.3330274,-12.659688,-8.408474,17,10,5,12
