,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross,best_threshold,best_return
131,AEP,KHC,-4.361467964,0.002049633,-1.519744586,0.005593106,0.416060582,57.023226,87,0.9500000000000002,2.1672683441350453
132,AEP,LHX,-4.773288005,0.000420498,3.735957789,0.001202057,0.377112112,47.55540118,77,0.9000000000000001,6.273947776444063
133,AEP,MO,-3.925256986,0.009151437,-0.62516756,0.006094075,0.424648176,58.72920711,97,0.9000000000000001,2.3628946057882243
134,AEP,PCG,-4.77170693,0.00042319,-1.541454295,0.003859277,0.408869128,53.18867762,95,1.950000000000001,4.211416673483439
135,AEP,SYY,-3.866390049,0.011030515,0.867119002,0.000849604,0.462312582,50.22045569,86,0.8,4.2566165130428875
136,AEP,TAP,-4.426410071,0.001613732,-1.266380277,0.005280902,0.408862061,55.61326058,113,1.4000000000000006,2.795704968350626
137,AEP,VTRS,-4.689458287,0.000587954,-0.952878005,0.001180391,0.375478082,45.81991564,73,1.1000000000000003,2.9152278651169663
138,AFL,MAR,-3.897122521,0.010010448,2.844346063,0.000479865,0.411215804,40.29773671,119,0.8,10.21431793474049
139,AFL,PANW,-3.982538145,0.007603793,4.786294761,0.002253174,0.460688698,49.87149945,66,0.8,12.55802355736122
140,AIG,IBM,-3.714343448,0.017561696,1.213250944,0.000409332,0.387734255,40.76387998,95,1.0000000000000002,7.137305042218583
141,AIZ,BX,-4.264583456,0.002905712,1.07389268,0.001189844,0.407952305,45.21619822,108,0.8,9.897943820439243
142,AIZ,DUK,-4.328820833,0.002307827,0.26711275,1.87e-05,0.363952024,29.68333164,117,0.9500000000000002,4.04397751044744
143,AIZ,J,-3.693634308,0.018673537,1.021594725,0.00112963,0.385307421,44.59050447,100,0.9500000000000002,7.236660767766946
144,AIZ,QCOM,-3.783576447,0.014254604,1.157871374,0.00937438,0.385836743,55.92849933,80,1.0000000000000002,10.417334783892432
145,AIZ,STX,-3.845966946,0.011758654,0.589924009,0.003329221,0.433202243,51.2823442,106,0.8,10.822806248160653
146,AJG,CDNS,-4.491485917,0.001264724,1.248871352,0.000366686,0.441912928,42.78354154,82,0.9500000000000002,5.468606189359762
147,AJG,LIN,-3.86107393,0.011216076,1.542889545,0.00409004,0.393402842,47.75280414,86,0.8,4.507127821465611
148,AJG,MPWR,-3.755970438,0.015500956,2.806344067,0.003410973,0.428721028,49.70239549,68,0.9000000000000001,7.301856273284958
149,AJG,ORLY,-3.729807243,0.016769703,4.020456492,0.000707116,0.399333326,38.07133167,89,1.2000000000000004,8.236232652275831
150,AJG,PANW,-4.278973249,0.002760549,1.166814437,0.000179304,0.451067852,39.25232854,78,0.8,13.286074733175585
151,AJG,SNPS,-4.009559172,0.006959108,2.355521245,8.04e-05,0.444728701,36.39660657,84,0.8,5.285652289642911
152,AKAM,ANSS,-3.90699359,0.00970118,3.915162695,0.004213462,0.404321175,51.88620561,89,1.1500000000000004,10.173507312790285
153,AKAM,EQIX,-3.817204462,0.012856542,6.91942119,0.004437629,0.377474924,51.47197988,109,0.8,8.202379888153885
154,AKAM,UNP,-3.676635121,0.019631665,2.062830913,0.009147417,0.428040535,57.53820188,51,0.8500000000000001,4.735679245441051
155,AKAM,VTRS,-3.716790314,0.017434236,-0.48789366,0.004494451,0.383801974,57.30656338,77,1.850000000000001,1.5155523362274481
156,ALB,UPS,-3.68720306,0.01903111,0.488251571,0.016983679,0.454414961,74.37498806,75,0.8,18.504955581462177
157,ALGN,APTV,-4.803627217,0.000371879,0.171254142,4.23e-05,0.378372818,31.96583595,129,0.9500000000000002,18.407395706477594
158,ALGN,BBY,-3.852899258,0.011506842,0.13456862,0.000689851,0.4198036,45.21975976,121,0.9000000000000001,31.82439994710002
159,ALGN,CZR,-5.141950544,8.95e-05,0.147968773,0.000113973,0.373032163,34.10455731,92,1.0500000000000003,89.3339955294701
160,ALGN,KMX,-3.850443462,0.011595493,0.131755242,0.0011697,0.361587875,44.70936962,85,0.9500000000000002,22.905624641986837
161,ALGN,TROW,-4.489003933,0.001276629,0.214955764,0.000439498,0.37660827,36.58053802,82,1.0500000000000003,19.01135158095137
162,ALL,AMAT,-3.730570016,0.016731461,1.761428283,0.01633063,0.440330476,67.00289576,60,1.4000000000000006,5.3204941181056675
163,ALL,AMGN,-4.018522352,0.006756424,1.409097543,0.005015984,0.383222542,55.12270126,92,0.9500000000000002,12.180407376273248
164,ALL,AXP,-4.802845893,0.000373061,1.641863269,0.000689377,0.403906235,42.07533566,84,0.8,7.897235953351533
165,ALL,EMR,-3.727831899,0.016869094,0.624429264,0.002713473,0.418254944,50.37387522,121,1.0000000000000002,4.500599676490773
166,ALL,JPM,-3.692655784,0.018727561,1.209345997,0.019857358,0.455995128,71.48205514,79,0.8,5.039351747845846
167,ALL,LDOS,-3.945226879,0.008582431,0.854313232,0.010053177,0.403869442,61.33668387,94,0.8,5.614318807816482
168,ALL,MU,-3.972819391,0.00784852,0.873092935,0.004853699,0.422047319,51.65199724,102,0.8,10.973427214125529
169,ALL,NVR,-3.77147503,0.014789634,57.61842012,0.015174141,0.439846563,67.72250629,90,1.800000000000001,2.9741456674487416
170,ALL,NXPI,-3.80379613,0.01339872,1.744901046,0.010867229,0.42199346,63.19843998,80,1.0500000000000003,10.476129883863312
171,ALL,WM,-3.681084044,0.019376857,1.546127731,0.010530167,0.425289391,62.9461935,97,0.8,4.642487709100662
172,ALLE,ANSS,-4.242030295,0.003147423,3.972847941,0.002769776,0.416777965,50.52509365,71,0.9500000000000002,8.192637264921846
173,ALLE,COO,-5.204474511,6.81e-05,0.853560908,1e-05,0.382976732,28.42677453,137,0.8,11.862030080421162
174,ALLE,CRM,-3.702724642,0.018178134,2.606211256,0.008888689,0.440691523,61.03727794,98,0.8500000000000001,4.6535480281752015
175,ALLE,CSGP,-3.679742297,0.019453399,1.027215431,0.013475496,0.420619588,65.64093518,61,1.0000000000000002,5.810772764242658
176,ALLE,DPZ,-3.893961508,0.010111332,4.42304766,0.004148748,0.434145945,50.90420293,87,0.8,6.969459709509769
177,ALLE,EQIX,-3.756158621,0.015492145,6.843535828,0.006590465,0.406081686,57.86725519,119,1.2000000000000004,6.84992088957575
178,ALLE,EW,-3.694097823,0.018647994,1.070192982,0.008801013,0.453452723,61.0211897,106,0.8,6.304040317777936
179,ALLE,GRMN,-3.919201435,0.009330539,1.442113537,0.009950786,0.413751791,49.17735718,113,0.8500000000000001,4.494557485368196
180,ALLE,ICE,-3.948341797,0.0084966,1.059333769,0.006995316,0.440782908,54.41273573,101,0.8,4.674667212388666
181,ALLE,IDXX,-3.764775044,0.015093407,7.056897906,0.005466917,0.445609682,55.96309293,95,0.9000000000000001,6.348862746326187
182,ALLE,MO,-3.68562323,0.019119857,-0.328638046,0.015288403,0.450634686,68.89428025,71,1.900000000000001,1.3291531572510353
183,ALLE,NSC,-3.700059226,0.018322188,2.496771856,0.00721098,0.438960568,58.99908328,66,0.8500000000000001,6.5895230716999205
184,ALLE,SPGI,-3.697459204,0.018463669,4.686461848,0.01657964,0.433522567,67.28630602,95,0.9000000000000001,3.9112740387090175
185,ALLE,TDY,-3.689340516,0.018911612,5.14137159,0.007704771,0.398371574,59.87527791,68,0.8,3.664289443791615
186,ALLE,TTWO,-3.685567762,0.01912298,1.598430078,0.0089778,0.441479482,66.91730625,54,0.8,14.732938555718999
187,ALLE,TYL,-4.347732948,0.002154814,4.650799744,0.014940981,0.410793386,64.35430875,82,0.8,7.230638396883339
188,ALLE,VTRS,-3.935804241,0.008846831,-0.488960066,0.002734245,0.383862102,53.12491939,69,0.8500000000000001,2.6093468257877155
189,ALLE,WTW,-4.211561007,0.003503368,1.817036308,0.001375195,0.385457813,44.88434559,123,0.8,5.743529790406547
190,ALLE,ZTS,-4.115124735,0.0048872,2.19602384,0.012839435,0.418178728,65.41481355,74,0.8,4.099248075739544
191,AMAT,CAT,-3.895695238,0.010055888,1.303244233,0.001919995,0.430445946,48.26835041,93,0.8500000000000001,8.522100034702124
192,AMAT,EMR,-3.682943777,0.019271201,0.320436367,0.000232409,0.423769483,37.38743949,106,1.1000000000000003,5.210796827898784
193,AMAT,LEN,-4.360921492,0.002053726,0.618684461,0.00034466,0.403641168,32.141224,110,0.8,19.380498788918164
194,AMAT,MLM,-4.299935032,0.00256102,2.127651665,0.000153392,0.378702595,31.48670365,94,0.8,42.99376317967428
195,AMAT,MPWR,-3.838298211,0.012042915,3.647805395,0.013544406,0.481478485,65.88517107,39,1.3000000000000005,6.099428333302448
196,AMAT,NXPI,-4.845751983,0.000313128,1.005840488,3.42e-06,0.36604588,23.18253336,107,0.9000000000000001,9.436394594732064
197,AMAT,VMC,-4.629864213,0.000743268,0.804351546,5.22e-05,0.373841525,29.25122965,66,0.8,45.73254587914931
198,AMD,BRO,-4.006924687,0.007019717,0.387998938,0.002865694,0.456693375,46.65522011,73,1.950000000000001,5.060716267166139
199,AMD,FAST,-4.880246551,0.000271684,0.305786547,4.2e-06,0.367019427,22.32689562,130,0.8,28.827260166493957
200,AMD,GOOG,-4.498784901,0.001230312,0.754934592,0.006912753,0.459564126,56.72194267,107,0.8,6.034900302996288
201,AMD,GOOGL,-3.909014795,0.009638918,0.74059846,0.006343502,0.450890242,55.80541389,107,0.9000000000000001,6.0966286404056
202,AMD,LRCX,-3.690600468,0.018841479,4.673102602,0.006186571,0.451354425,55.42279767,53,0.8500000000000001,11.738486663812
